Country,lnCARS,DEV,lnLENTH,lnALC,lnDTP
Afghanistan,3.2958368660043287,0,4.1758711698563085,-3.5065578973199822,3.2228678461377385
Albania,4.736198448394496,0,6.4395588372721075,1.986503546020567,2.2300144001592104
Algeria,4.6913478822291435,0,3.86533623104898,-0.3710636813908321,2.6741486494265287
Angola,3.6958550678503617,0,3.719702155324661,1.7173950539391931,3.5890591188317256
Argentina,5.807661894032228,0,4.426311503128115,2.2353763433005955,2.5014359517392117
Armenia,4.692997896353613,0,5.697948937808107,2.614471854142644,2.6461747973841225
Australia,6.532334292222347,1,4.673708758711884,2.3233676321765744,1.916922612182061
Austria,6.329720905522696,1,7.186158585438178,2.5176964726109907,1.9315214116032136
Azerbaijan,4.584967478670572,0,6.526379886724545,2.590767040487478,2.1400661634962708
Bahrain,6.238324625039509,0,8.664056372141191,1.4327007339340465,3.1612467120315646
Bangladesh,0.6931471805599453,0,7.415350691227842,-1.7719568419318752,2.7972813348301537
Barbados,6.208871676570253,0,8.219406097106262,1.8594181177018696,2.2925347571405443
Belarus,5.70017597906209,0,6.123879890881027,2.93651291389402,2.844909383819408
Belgium,6.306275286948018,1,8.524020048353965,2.342766882626877,2.302585092994046
Belize,5.217324207338505,0,4.874683321634532,1.7783364488959144,3.6082115510464816
Benin,3.1493113614822916,0,4.956324681395446,0.7323678937132266,3.242592351485517
Bhutan,3.8501476017100575,0,5.14327976870255,-0.6161861394238171,2.923161580719156
Bolivia,4.277776613300082,0,2.6871583026538115,1.754403682684286,2.8390784635086144
Bosnia and Herzegovina,4.90527477843843,0,6.105675065763745,2.26176309847379,1.5475625087160132
Botswana,4.820281565605037,0,3.760506116703025,1.9416152247724323,3.2809112157876537
Brazil,5.342334251964812,0,5.326965105443468,2.3105532626432224,3.095577608523707
Bulgaria,5.8664680569332965,0,5.893674060090089,2.4336133554004498,2.5726122302071057
Burkina Faso,2.302585092994046,0,5.821052100857275,1.9906103279732201,3.446807892914208
Burundi,1.8500283773520307,0,6.0930269860367146,2.2669579153508947,3.3843902633457743
