Country Name,GDP,G,I,C,NX
Aruba,2962905027.932961,689042461.006229,638178551.3084079,2328514354.43757,-3787877.81302223
Angola,116193649124.15137,19093907444.31775,39741120210.02709,80379086228.04965,-3926557313.0924606
Albania,11386850129.841055,1265151391.256231,2939976357.8929152,10453742764.665768,-1966079054.188694
United Arab Emirates,358135057862.4915,44511095983.66235,91822890156.56909,171335879972.7706,94976174268.20967
Argentina,594749285413.2124,107639984288.53952,101527895313.53004,499614480942.4879,-6393090842.8054905
Armenia,10553337672.987204,1383711190.8039513,2187762845.6579294,9606433610.096119,-1290809537.948223
Antigua and Barbuda,1336692592.5925925,217358814.8148148,319849629.6296296,1107565814.8148148,164222222.2222222
Australia,1350534154255.7617,247805973874.6984,354962975289.12555,1015654380564.1068,-20083201597.470673
Austria,381971148530.5428,75483956483.30464,90930239902.46089,276717174876.0155,14326995719.964836
Azerbaijan,53074370486.043335,6585594378.293968,14814952176.459106,36673531134.10111,1585887175.4831154
Burundi,3104394858.115185,696039941.0063615,378041365.0170625,3037202852.118359,-654282786.6153936
Belgium,462335574841.48413,109180950294.21869,109240420185.15619,346539153936.9139,6556000719.414059
Benin,11388160958.248966,1299546338.4774017,2360978309.4617376,9860273401.219902,-833090752.4326735
Burkina Faso,11832159275.60297,1886528970.925305,2296231620.5853167,10349257296.498024,-813329641.4803699
Bangladesh,195078678697.22955,10542520729.812965,56351771702.4379,151852227932.0636,-14460497206.639202
Bulgaria,50781996712.76355,8167858195.42054,10660807073.226027,39664541487.19112,456648152.3464067
Bahrain,31050638297.87234,5491382978.723405,7927473404.25532,19619707446.80851,3503457446.808511
"Bahamas, The",11890600000.0,1454400000.0,2915900000.0,8941900000.0,65600000.0
Bosnia and Herzegovina,16219819017.360718,3568048673.550437,3559836802.3440256,16570999741.623966,-2964492088.20725
Belarus,56454734396.5842,8424042446.314203,16391460504.834862,38275806856.712296,60241115.15760392
Belize,1721700991.46912,271896000.0,370253250.0,1469499450.0,-128352050.0
Bermuda,6654541000.0,832027000.0,791397000.0,4069755000.0,1773181000.0
Bolivia,33000198248.336178,5773469898.697539,6692861505.065123,28352112445.730824,-2044775832.1273515
Brazil,1802211999538.684,356420222393.65454,313794410623.05963,1509201474487.2937,-20783885571.669216
Barbados,4715000000.0,642925350.0,797933650.0,4259147900.0,-77563750.0
Brunei Darussalam,12930394937.81366,3240573714.45196,4557422357.989672,5798930467.670376,1878450796.421558
Bhutan,2003598212.9913535,365780983.8835639,1111221374.5592241,1473613799.4354026,-581236950.1137145
Botswana,13578754072.4652,4281044525.6195087,3947902063.3823676,10570174745.779446,-909142067.3314247
Central African Republic,1695825708.4560406,250588748.49736568,369781247.5632671,1648416294.8737314,-322373525.42245024
Canada,1556508816217.1401,324965188724.9219,370785201353.98975,1224766888757.1345,-38367633198.49449
Switzerland,702149580770.9009,79984614996.24164,173353574248.94388,446846125840.51965,81949880681.43732
Chile,243919079437.42172,31694583046.292744,58017939352.704636,186436732950.4539,-535592866.36282015
China,11061553079871.54,1793950153881.975,4782441087258.129,5972231003034.926,358835723372.1397
Cote d'Ivoire,45814637971.47452,4005308081.690535,10759458921.398207,34140978603.77256,914200446.3037522
Cameroon,32210232911.66261,3947005084.6422696,5878320958.803759,27479191350.746273,-1147279397.8874235
"Congo, Dem. Rep.",37917704900.07938,5039567061.669465,8255268741.934264,31970750957.19693,-2308314799.1598134
"Congo, Rep.",11885478502.116783,2399730057.369953,9437198253.322964,6874110349.25041,-4425830100.456591
Colombia,293481748240.7792,43469430054.38347,69771447767.84433,244431112963.36758,-20720812490.433117
Comoros,966029542.038859,102320928.22695445,131747498.01988594,1003651709.2128078,-169369665.1938347
Cabo Verde,1596800287.1640487,301032525.8060264,482019622.54127103,1342343935.7976048,-227563272.18100792
Costa Rica,56441917653.015594,9572685774.944225,10641404753.096571,46230739278.126854,-430226378.20798033
Cuba,87133000000.0,28062000000.0,8181000000.0,76616000000.0,2336000000.0
Curacao,3151910782.122905,490782122.9050279,1053519553.0726256,2570949720.670391,-472569832.4022346
Cyprus,19842404304.892933,3244979474.092977,2714238322.4231668,16609050260.734495,519115721.7352713
Czech Republic,188033050459.8811,35566929213.88282,52617754967.223946,124242573301.4889,11172722191.168251
Germany,3357585719351.5605,661167607626.5621,662886243094.1403,2439682376398.8267,255017099858.59363
Djibouti,2430274292.2896,482722919.6324576,-2391388.7497819616,1975433404.0434163,457227902.16125274
Dominica,540737037.037037,115440740.74074073,71937037.03703703,539851851.8518518,-71048148.14814815
Denmark,302673070846.85724,77088408030.17932,62445104478.21591,219682127898.1989,20545812459.38069
Dominican Republic,71164825256.6849,7321968085.602336,16682561643.227404,57789942862.217094,-3307679248.759588
Algeria,165979279263.1744,35785706624.3989,84285420601.95805,103854601286.70374,-22160843925.101845
Ecuador,99290381000.0,14327128000.0,26679423000.0,75319038000.0,-2708080000.0
"Egypt, Arab Rep.",329366576819.407,38733153638.81402,47061994609.16442,310229110512.1294,-27924528301.88679
Spain,1195599995808.593,232897850871.09363,227119507736.71863,932129517236.3276,36350970835.54686
Estonia,22890762090.15077,4481298155.950779,5722910760.846481,16246019201.20585,900478443.0054682
Ethiopia,64589334978.80132,5821946097.653217,26269304748.30311,51838253125.0622,-13518222894.563984
Finland,234534382384.7655,57189841947.265594,50924422653.90623,184943594225.39053,-1333634494.5312493
Fiji,4682546863.081617,943649885.5835241,985136250.9534707,3621853546.910755,-164598922.5781846
France,2439188643162.4985,580719046953.1248,553996428982.4216,1899008978207.0303,-13816764026.953117
Faroe Islands,2518096285.6166115,720834138.438443,541194131.8985121,1956271644.941215,20630508.776884176
Gabon,14383107714.038813,2131058490.2159414,4204319929.3924665,7573397773.758537,2605390010.718665
United Kingdom,2956573778737.7554,573462061968.2328,523053036068.51105,2479250185409.977,-45729442740.73254
Georgia,14953950557.44062,2137046666.3728905,3932049530.692284,13570660556.118628,-2548803595.8225007
Ghana,49406568432.67108,3794666989.7162547,13752759515.536587,40030174231.41119,-4376365315.242557
Guinea,8794202443.67366,1715036050.8847706,2124975239.0773504,9259030549.006723,-2589803323.3697815
"Gambia, The",1378176868.315681,114754991.03660172,280456418.1225327,1240191153.2905788,-189428189.29944336
Guinea-Bissau,1048229629.4203922,118721275.13714631,84755162.99829656,1012693716.6500596,-49219086.834715895
Equatorial Guinea,13185496881.405462,2872263870.614376,3257009302.371199,8024648389.382223,1903839189.6520405
Greece,195683527003.3745,40407720540.977325,23632667841.315224,174053441168.60617,-2002566473.3664052
Greenland,2499115623.00272,1104579437.8632262,600529139.8504734,2097043654.0376642,-198472034.3643633
